,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart,TweetsAgo,Color
351,@FoxNews,'Meghan Markle' and 'fidget spinners' top UK Google search for 2017. https://t.co/hYKDDFVfPL https://t.co/YCbpX1K8yC,2017-12-13 15:49:03,0.2023,0.13,0.87,0.0,0.15944444444444444,52.0,green
350,@FoxNews,"'Tartes of flesh' used to include pork, hard-boiled eggs, cheese, spices, saffron, &amp; sugar in the 1300s. 😬

This is… https://t.co/39MHfYnQ6Y",2017-12-13 17:00:14,0.0,0.0,1.0,0.0,1.186388888888889,51.0,green
349,@FoxNews,"RT @bbcgenome: #OTD 2006, @StephenMerchant won a British Comedy Award for his role in Extras. Here he is pictured alongside @rickygervais a…",2017-12-13 17:23:02,0.8658,0.35,0.65,0.0,0.38,50.0,green
348,@FoxNews,"Dwayne Johnson, president, 2020?

The Graham Norton Show | @BBCOne https://t.co/TfDdY43IER",2017-12-13 17:30:01,0.0,0.0,1.0,0.0,0.11638888888888889,49.0,green
347,@FoxNews,"Còsagach: A feeling of being snug, sheltered or cosy. 🤗
Scotland could offer visitors a rival to the Danish concept… https://t.co/XlVpqlvaTV",2017-12-13 18:00:12,0.128,0.081,0.919,0.0,0.5030555555555556,48.0,green
346,@FoxNews,Princess Margaret broke all the royal rules long before Prince Harry. 👑 https://t.co/RffK1BgQG0 https://t.co/TMnsg71XDB,2017-12-13 18:32:04,-0.4215,0.0,0.811,0.189,0.5311111111111111,47.0,green
345,@FoxNews,"It’s spicy, it's tangy &amp; it'll warm you right up. 🍲😋
Get the full recipe for @Rick_Stein's Sopa Azteca here. 👉… https://t.co/jLcGMawMgO",2017-12-13 19:00:02,0.2263,0.083,0.917,0.0,0.4661111111111111,46.0,green
344,@FoxNews,🐘 Why you must never pee in front of elephants... and more surprising facts. 👉 https://t.co/Bz8ncFjAfa https://t.co/o2vs4NJDK0,2017-12-13 19:31:04,0.3384,0.146,0.854,0.0,0.5172222222222222,45.0,green
343,@FoxNews,London's Euston station will be turned into a shelter for the homeless on Christmas Day. ❤️️🎁… https://t.co/Y834ULzLu5,2017-12-13 20:00:10,0.0,0.0,1.0,0.0,0.485,44.0,green
342,@FoxNews,"In a quiet corner of northern Europe exists a geopolitical anomaly, where many buildings have an international bord… https://t.co/U0BoEVqWwY",2017-12-14 07:38:04,0.0,0.0,1.0,0.0,11.631666666666666,43.0,green
341,@FoxNews,"'As long as I get the strength to do it, I'll carry on.' 💕
Via @BBCStories. https://t.co/K3NBJzFyID",2017-12-14 08:00:01,0.4939,0.186,0.814,0.0,0.36583333333333334,42.0,green
340,@FoxNews,"The extent with which we use our unconscious mind is enormous – and the more we use it, the better we perform many… https://t.co/HYw72pkMD4",2017-12-14 08:20:03,0.4404,0.116,0.884,0.0,0.3338888888888889,41.0,green
319,@FoxNews,"'I'm not an eco-warrior, I'm just a normal mum.' 
Chrissy is trying to reduce the amount of plastic her family thro… https://t.co/Cb83chprZk",2017-12-14 08:40:04,0.0,0.0,1.0,0.0,13.666666666666666,20.0,green
339,@FoxNews,"'I'm not an eco-warrior, I'm just a normal mum.' 
Chrissy is trying to reduce the amount of plastic her family thro… https://t.co/Cb83chprZk",2017-12-14 08:40:04,0.0,0.0,1.0,0.0,0.33361111111111114,40.0,green
318,@FoxNews,How a vertical village can bring a community together. 🌱❤️️ https://t.co/SZvVg2U7EX https://t.co/bwazhnIJxv,2017-12-14 09:00:06,0.0,0.0,1.0,0.0,0.3338888888888889,19.0,green
338,@FoxNews,How a vertical village can bring a community together. 🌱❤️️ https://t.co/SZvVg2U7EX https://t.co/bwazhnIJxv,2017-12-14 09:00:06,0.0,0.0,1.0,0.0,0.3338888888888889,39.0,green
317,@FoxNews,"The mercury plummeted over the weekend in Scotland, reaching as low as -11.3 degrees at Dalwhinnie!
Here are your p… https://t.co/nHWTU8tAPa",2017-12-14 10:00:15,-0.1511,0.078,0.819,0.103,1.0025,18.0,green
337,@FoxNews,"The mercury plummeted over the weekend in Scotland, reaching as low as -11.3 degrees at Dalwhinnie!
Here are your p… https://t.co/nHWTU8tAPa",2017-12-14 10:00:15,-0.1511,0.078,0.819,0.103,1.0025,38.0,green
316,@FoxNews,"Did you know that the ability for adults to digest milk is a relatively recent genetic mutation?
Here are 3 quirky… https://t.co/q4ivJ3J8Lr",2017-12-14 11:00:09,0.3182,0.108,0.892,0.0,0.9983333333333333,17.0,green
336,@FoxNews,"Did you know that the ability for adults to digest milk is a relatively recent genetic mutation?
Here are 3 quirky… https://t.co/q4ivJ3J8Lr",2017-12-14 11:00:09,0.3182,0.108,0.892,0.0,0.9983333333333333,37.0,green
