,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart
385,@FoxNews,Fivo the elf has left the shelf for fun in the snow with the Long Branch Police Department. https://t.co/ldoijqwce9,2017-12-14 21:15:26,0.5106,0.155,0.845,0.0,0
386,@FoxNews,"Republicans turn focus to FBI's McCabe over texts on 'insurance' against Trump - via @brookefoxnews
https://t.co/FDiPZyhd1j",2017-12-14 21:13:18,0.0,0.0,1.0,0.0,0
387,@FoxNews,Officials confirm first firefighter death in California. https://t.co/KkoA2UoBCD,2017-12-14 20:46:32,-0.5994,0.0,0.642,0.358,0
388,@FoxNews,"Moments ago, First Lady Melania Trump released the official 2017 First Couple #Christmas portrait, and wished every… https://t.co/RJ8I2SVG2y",2017-12-14 20:36:52,0.0,0.0,1.0,0.0,0
389,@FoxNews,"Moments ago, @FLOTUS released the official 2017 First Couple #Christmas portrait. https://t.co/m5bmlsF6j2",2017-12-14 20:31:48,0.0,0.0,1.0,0.0,0
390,@FoxNews,What stays with Fox. https://t.co/8nyD4uw6fJ,2017-12-14 20:28:20,0.0,0.0,1.0,0.0,0
391,@FoxNews,What @Disney gets. https://t.co/Mpg6PZUZAg,2017-12-14 20:27:58,0.0,0.0,1.0,0.0,0
392,@FoxNews,".@JMFreeSpeech: Is it time for a national ID card to prevent terror attacks? 
https://t.co/W7bSrTJTCD",2017-12-14 20:26:41,-0.7351,0.063,0.575,0.362,0
393,@FoxNews,.@SecNielsen: Still Need Congress to Approve Funds for New Border Wall Sections https://t.co/CYsrlbLY79 https://t.co/qpCsGcsUoa,2017-12-14 20:23:07,0.0,0.0,1.0,0.0,0
394,@FoxNews,.@POTUS cuts the red tape. https://t.co/GkoTCpEDAr,2017-12-14 20:18:22,-0.296,0.0,0.694,0.306,0
